game_id,game_date,home_team,away_team,y_true_home_win,p_model,p_oof,p_market,odds_decimal,source_prediction_ref,source_odds_ref,paper_only,production_ready
MIN-20240419-0,2024-04-19,MIN,DET,0,,,,,,,True,False
NYA-20240419-0,2024-04-19,NYA,TBA,1,,,,,,,True,False
ATL-20240420-0,2024-04-20,ATL,TEX,1,,,,,,,True,False
CHN-20240420-1,2024-04-20,CHN,MIA,0,,,,,,,True,False
CHN-20240420-2,2024-04-20,CHN,MIA,1,,,,,,,True,False
CIN-20240420-0,2024-04-20,CIN,ANA,1,,,,,,,True,False
COL-20240420-0,2024-04-20,COL,SEA,0,,,,,,,True,False
LAN-20240420-0,2024-04-20,LAN,NYN,0,,,,,,,True,False
PHI-20240420-0,2024-04-20,PHI,CHA,1,,,,,,,True,False
PIT-20240420-0,2024-04-20,PIT,BOS,0,,,,,,,True,False
SDN-20240420-0,2024-04-20,SDN,TOR,0,,,,,,,True,False
SFN-20240420-0,2024-04-20,SFN,ARI,1,,,,,,,True,False
SLN-20240420-0,2024-04-20,SLN,MIL,0,,,,,,,True,False
WAS-20240420-0,2024-04-20,WAS,HOU,1,,,,,,,True,False
CLE-20240420-0,2024-04-20,CLE,OAK,1,,,,,,,True,False
KCA-20240420-0,2024-04-20,KCA,BAL,0,,,,,,,True,False
MIN-20240420-0,2024-04-20,MIN,DET,1,,,,,,,True,False
NYA-20240420-0,2024-04-20,NYA,TBA,0,,,,,,,True,False
ATL-20240421-0,2024-04-21,ATL,TEX,0,,,,,,,True,False
CHN-20240421-0,2024-04-21,CHN,MIA,0,,,,,,,True,False
CIN-20240421-0,2024-04-21,CIN,ANA,1,,,,,,,True,False
COL-20240421-1,2024-04-21,COL,SEA,1,,,,,,,True,False
COL-20240421-2,2024-04-21,COL,SEA,0,,,,,,,True,False
LAN-20240421-0,2024-04-21,LAN,NYN,1,,,,,,,True,False
PHI-20240421-0,2024-04-21,PHI,CHA,1,,,,,,,True,False
PIT-20240421-0,2024-04-21,PIT,BOS,0,,,,,,,True,False
SDN-20240421-0,2024-04-21,SDN,TOR,1,,,,,,,True,False
SFN-20240421-0,2024-04-21,SFN,ARI,0,,,,,,,True,False
SLN-20240421-0,2024-04-21,SLN,MIL,0,,,,,,,True,False
WAS-20240421-0,2024-04-21,WAS,HOU,1,,,,,,,True,False
CLE-20240421-0,2024-04-21,CLE,OAK,1,,,,,,,True,False
KCA-20240421-0,2024-04-21,KCA,BAL,0,,,,,,,True,False
MIN-20240421-0,2024-04-21,MIN,DET,0,,,,,,,True,False
NYA-20240421-0,2024-04-21,NYA,TBA,1,,,,,,,True,False
ATL-20240422-0,2024-04-22,ATL,MIA,1,,,,,,,True,False
CIN-20240422-0,2024-04-22,CIN,PHI,0,,,,,,,True,False
COL-20240422-0,2024-04-22,COL,SDN,0,,,,,,,True,False
PIT-20240422-0,2024-04-22,PIT,MIL,1,,,,,,,True,False
SFN-20240422-0,2024-04-22,SFN,NYN,1,,,,,,,True,False
SLN-20240422-0,2024-04-22,SLN,ARI,1,,,,,,,True,False
ANA-20240422-0,2024-04-22,ANA,BAL,0,,,,,,,True,False
KCA-20240422-0,2024-04-22,KCA,TOR,0,,,,,,,True,False
MIN-20240422-0,2024-04-22,MIN,CHA,1,,,,,,,True,False
NYA-20240422-0,2024-04-22,NYA,OAK,0,,,,,,,True,False
TBA-20240422-0,2024-04-22,TBA,DET,0,,,,,,,True,False
ATL-20240423-0,2024-04-23,ATL,MIA,1,,,,,,,True,False
CHN-20240423-0,2024-04-23,CHN,HOU,1,,,,,,,True,False
CIN-20240423-0,2024-04-23,CIN,PHI,1,,,,,,,True,False
COL-20240423-0,2024-04-23,COL,SDN,1,,,,,,,True,False
PIT-20240423-0,2024-04-23,PIT,MIL,1,,,,,,,True,False
