"game_id","game_date","season","away_team","home_team","source_name","source_row_number","away_score","home_score","y_true_home_win"
"BOS-20240416-0","2024-04-16",2024,"CLE","BOS","Retrosheet",258,10,7,0
"DET-20240416-0","2024-04-16",2024,"TEX","DET","Retrosheet",259,2,4,1
"HOU-20240416-0","2024-04-16",2024,"ATL","HOU","Retrosheet",260,6,2,0
"OAK-20240416-0","2024-04-16",2024,"SLN","OAK","Retrosheet",261,3,2,0
"SEA-20240416-0","2024-04-16",2024,"CIN","SEA","Retrosheet",262,1,3,1
"TBA-20240416-0","2024-04-16",2024,"ANA","TBA","Retrosheet",263,6,7,1
"TOR-20240416-0","2024-04-16",2024,"NYA","TOR","Retrosheet",264,4,5,1
"ARI-20240417-0","2024-04-17",2024,"CHN","ARI","Retrosheet",265,5,3,0
"LAN-20240417-0","2024-04-17",2024,"WAS","LAN","Retrosheet",266,2,0,0
"MIA-20240417-0","2024-04-17",2024,"SFN","MIA","Retrosheet",267,3,1,0
"MIL-20240417-0","2024-04-17",2024,"SDN","MIL","Retrosheet",268,0,1,1
"NYN-20240417-0","2024-04-17",2024,"PIT","NYN","Retrosheet",269,1,9,1
"PHI-20240417-0","2024-04-17",2024,"COL","PHI","Retrosheet",270,6,7,1
"BAL-20240417-0","2024-04-17",2024,"MIN","BAL","Retrosheet",271,2,4,1
"BOS-20240417-0","2024-04-17",2024,"CLE","BOS","Retrosheet",272,0,2,1
"CHA-20240417-1","2024-04-17",2024,"KCA","CHA","Retrosheet",273,4,2,0
"CHA-20240417-2","2024-04-17",2024,"KCA","CHA","Retrosheet",274,1,2,1
"DET-20240417-0","2024-04-17",2024,"TEX","DET","Retrosheet",275,5,4,0
"HOU-20240417-0","2024-04-17",2024,"ATL","HOU","Retrosheet",276,5,4,0
"OAK-20240417-0","2024-04-17",2024,"SLN","OAK","Retrosheet",277,3,6,1
"SEA-20240417-0","2024-04-17",2024,"CIN","SEA","Retrosheet",278,1,5,1
"TBA-20240417-0","2024-04-17",2024,"ANA","TBA","Retrosheet",279,5,4,0
"TOR-20240417-0","2024-04-17",2024,"NYA","TOR","Retrosheet",280,6,4,0
"SFN-20240418-0","2024-04-18",2024,"ARI","SFN","Retrosheet",281,0,5,1
"BOS-20240418-0","2024-04-18",2024,"CLE","BOS","Retrosheet",282,5,4,0
"DET-20240418-0","2024-04-18",2024,"TEX","DET","Retrosheet",283,9,7,0
"TBA-20240418-0","2024-04-18",2024,"ANA","TBA","Retrosheet",284,1,2,1
"ATL-20240419-0","2024-04-19",2024,"TEX","ATL","Retrosheet",285,3,8,1
"CHN-20240419-0","2024-04-19",2024,"MIA","CHN","Retrosheet",286,3,8,1
"CIN-20240419-0","2024-04-19",2024,"ANA","CIN","Retrosheet",287,1,7,1
"LAN-20240419-0","2024-04-19",2024,"NYN","LAN","Retrosheet",288,9,4,0
"PHI-20240419-0","2024-04-19",2024,"CHA","PHI","Retrosheet",289,0,7,1
"PIT-20240419-0","2024-04-19",2024,"BOS","PIT","Retrosheet",290,8,1,0
"SDN-20240419-0","2024-04-19",2024,"TOR","SDN","Retrosheet",291,5,1,0
"SFN-20240419-0","2024-04-19",2024,"ARI","SFN","Retrosheet",292,17,1,0
"SLN-20240419-0","2024-04-19",2024,"MIL","SLN","Retrosheet",293,2,1,0
"WAS-20240419-0","2024-04-19",2024,"HOU","WAS","Retrosheet",294,5,3,0
"CLE-20240419-0","2024-04-19",2024,"OAK","CLE","Retrosheet",295,2,10,1
"KCA-20240419-0","2024-04-19",2024,"BAL","KCA","Retrosheet",296,4,9,1
"MIN-20240419-0","2024-04-19",2024,"DET","MIN","Retrosheet",297,5,4,0
"NYA-20240419-0","2024-04-19",2024,"TBA","NYA","Retrosheet",298,3,5,1
"ATL-20240420-0","2024-04-20",2024,"TEX","ATL","Retrosheet",299,2,5,1
"CHN-20240420-1","2024-04-20",2024,"MIA","CHN","Retrosheet",300,3,2,0
"CHN-20240420-2","2024-04-20",2024,"MIA","CHN","Retrosheet",301,3,5,1
"CIN-20240420-0","2024-04-20",2024,"ANA","CIN","Retrosheet",302,5,7,1
"COL-20240420-0","2024-04-20",2024,"SEA","COL","Retrosheet",303,7,0,0
"LAN-20240420-0","2024-04-20",2024,"NYN","LAN","Retrosheet",304,6,4,0
"PHI-20240420-0","2024-04-20",2024,"CHA","PHI","Retrosheet",305,5,9,1
"PIT-20240420-0","2024-04-20",2024,"BOS","PIT","Retrosheet",306,4,2,0
