"game_id","game_date","season","away_team","home_team","source_name","source_row_number"
"TOR-20240416-0","2024-04-16",2024,"NYA","TOR","Retrosheet",264
"ARI-20240417-0","2024-04-17",2024,"CHN","ARI","Retrosheet",265
"LAN-20240417-0","2024-04-17",2024,"WAS","LAN","Retrosheet",266
"MIA-20240417-0","2024-04-17",2024,"SFN","MIA","Retrosheet",267
"MIL-20240417-0","2024-04-17",2024,"SDN","MIL","Retrosheet",268
"NYN-20240417-0","2024-04-17",2024,"PIT","NYN","Retrosheet",269
"PHI-20240417-0","2024-04-17",2024,"COL","PHI","Retrosheet",270
"BAL-20240417-0","2024-04-17",2024,"MIN","BAL","Retrosheet",271
"BOS-20240417-0","2024-04-17",2024,"CLE","BOS","Retrosheet",272
"CHA-20240417-1","2024-04-17",2024,"KCA","CHA","Retrosheet",273
"CHA-20240417-2","2024-04-17",2024,"KCA","CHA","Retrosheet",274
"DET-20240417-0","2024-04-17",2024,"TEX","DET","Retrosheet",275
"HOU-20240417-0","2024-04-17",2024,"ATL","HOU","Retrosheet",276
"OAK-20240417-0","2024-04-17",2024,"SLN","OAK","Retrosheet",277
"SEA-20240417-0","2024-04-17",2024,"CIN","SEA","Retrosheet",278
"TBA-20240417-0","2024-04-17",2024,"ANA","TBA","Retrosheet",279
"TOR-20240417-0","2024-04-17",2024,"NYA","TOR","Retrosheet",280
"SFN-20240418-0","2024-04-18",2024,"ARI","SFN","Retrosheet",281
"BOS-20240418-0","2024-04-18",2024,"CLE","BOS","Retrosheet",282
"DET-20240418-0","2024-04-18",2024,"TEX","DET","Retrosheet",283
"TBA-20240418-0","2024-04-18",2024,"ANA","TBA","Retrosheet",284
"ATL-20240419-0","2024-04-19",2024,"TEX","ATL","Retrosheet",285
"CHN-20240419-0","2024-04-19",2024,"MIA","CHN","Retrosheet",286
"CIN-20240419-0","2024-04-19",2024,"ANA","CIN","Retrosheet",287
"LAN-20240419-0","2024-04-19",2024,"NYN","LAN","Retrosheet",288
"PHI-20240419-0","2024-04-19",2024,"CHA","PHI","Retrosheet",289
"PIT-20240419-0","2024-04-19",2024,"BOS","PIT","Retrosheet",290
"SDN-20240419-0","2024-04-19",2024,"TOR","SDN","Retrosheet",291
"SFN-20240419-0","2024-04-19",2024,"ARI","SFN","Retrosheet",292
"SLN-20240419-0","2024-04-19",2024,"MIL","SLN","Retrosheet",293
"WAS-20240419-0","2024-04-19",2024,"HOU","WAS","Retrosheet",294
"CLE-20240419-0","2024-04-19",2024,"OAK","CLE","Retrosheet",295
"KCA-20240419-0","2024-04-19",2024,"BAL","KCA","Retrosheet",296
"MIN-20240419-0","2024-04-19",2024,"DET","MIN","Retrosheet",297
"NYA-20240419-0","2024-04-19",2024,"TBA","NYA","Retrosheet",298
"ATL-20240420-0","2024-04-20",2024,"TEX","ATL","Retrosheet",299
"CHN-20240420-1","2024-04-20",2024,"MIA","CHN","Retrosheet",300
"CHN-20240420-2","2024-04-20",2024,"MIA","CHN","Retrosheet",301
"CIN-20240420-0","2024-04-20",2024,"ANA","CIN","Retrosheet",302
"COL-20240420-0","2024-04-20",2024,"SEA","COL","Retrosheet",303
"LAN-20240420-0","2024-04-20",2024,"NYN","LAN","Retrosheet",304
"PHI-20240420-0","2024-04-20",2024,"CHA","PHI","Retrosheet",305
"PIT-20240420-0","2024-04-20",2024,"BOS","PIT","Retrosheet",306
"SDN-20240420-0","2024-04-20",2024,"TOR","SDN","Retrosheet",307
"SFN-20240420-0","2024-04-20",2024,"ARI","SFN","Retrosheet",308
"SLN-20240420-0","2024-04-20",2024,"MIL","SLN","Retrosheet",309
"WAS-20240420-0","2024-04-20",2024,"HOU","WAS","Retrosheet",310
"CLE-20240420-0","2024-04-20",2024,"OAK","CLE","Retrosheet",311
"KCA-20240420-0","2024-04-20",2024,"BAL","KCA","Retrosheet",312
"MIN-20240420-0","2024-04-20",2024,"DET","MIN","Retrosheet",313
"NYA-20240420-0","2024-04-20",2024,"TBA","NYA","Retrosheet",314
"ATL-20240421-0","2024-04-21",2024,"TEX","ATL","Retrosheet",315
"CHN-20240421-0","2024-04-21",2024,"MIA","CHN","Retrosheet",316
"CIN-20240421-0","2024-04-21",2024,"ANA","CIN","Retrosheet",317
"COL-20240421-1","2024-04-21",2024,"SEA","COL","Retrosheet",318
"COL-20240421-2","2024-04-21",2024,"SEA","COL","Retrosheet",319
"LAN-20240421-0","2024-04-21",2024,"NYN","LAN","Retrosheet",320
"PHI-20240421-0","2024-04-21",2024,"CHA","PHI","Retrosheet",321
"PIT-20240421-0","2024-04-21",2024,"BOS","PIT","Retrosheet",322
"SDN-20240421-0","2024-04-21",2024,"TOR","SDN","Retrosheet",323
"SFN-20240421-0","2024-04-21",2024,"ARI","SFN","Retrosheet",324
"SLN-20240421-0","2024-04-21",2024,"MIL","SLN","Retrosheet",325
"WAS-20240421-0","2024-04-21",2024,"HOU","WAS","Retrosheet",326
"CLE-20240421-0","2024-04-21",2024,"OAK","CLE","Retrosheet",327
"KCA-20240421-0","2024-04-21",2024,"BAL","KCA","Retrosheet",328
"MIN-20240421-0","2024-04-21",2024,"DET","MIN","Retrosheet",329
"NYA-20240421-0","2024-04-21",2024,"TBA","NYA","Retrosheet",330
"ATL-20240422-0","2024-04-22",2024,"MIA","ATL","Retrosheet",331
"CIN-20240422-0","2024-04-22",2024,"PHI","CIN","Retrosheet",332
"COL-20240422-0","2024-04-22",2024,"SDN","COL","Retrosheet",333
"PIT-20240422-0","2024-04-22",2024,"MIL","PIT","Retrosheet",334
"SFN-20240422-0","2024-04-22",2024,"NYN","SFN","Retrosheet",335
"SLN-20240422-0","2024-04-22",2024,"ARI","SLN","Retrosheet",336
"ANA-20240422-0","2024-04-22",2024,"BAL","ANA","Retrosheet",337
"KCA-20240422-0","2024-04-22",2024,"TOR","KCA","Retrosheet",338
"MIN-20240422-0","2024-04-22",2024,"CHA","MIN","Retrosheet",339
"NYA-20240422-0","2024-04-22",2024,"OAK","NYA","Retrosheet",340
"TBA-20240422-0","2024-04-22",2024,"DET","TBA","Retrosheet",341
"ATL-20240423-0","2024-04-23",2024,"MIA","ATL","Retrosheet",342
"CHN-20240423-0","2024-04-23",2024,"HOU","CHN","Retrosheet",343
"CIN-20240423-0","2024-04-23",2024,"PHI","CIN","Retrosheet",344
"COL-20240423-0","2024-04-23",2024,"SDN","COL","Retrosheet",345
"PIT-20240423-0","2024-04-23",2024,"MIL","PIT","Retrosheet",346
"SFN-20240423-0","2024-04-23",2024,"NYN","SFN","Retrosheet",347
"SLN-20240423-0","2024-04-23",2024,"ARI","SLN","Retrosheet",348
"WAS-20240423-0","2024-04-23",2024,"LAN","WAS","Retrosheet",349
"ANA-20240423-0","2024-04-23",2024,"BAL","ANA","Retrosheet",350
"CLE-20240423-0","2024-04-23",2024,"BOS","CLE","Retrosheet",351
"KCA-20240423-0","2024-04-23",2024,"TOR","KCA","Retrosheet",352
"MIN-20240423-0","2024-04-23",2024,"CHA","MIN","Retrosheet",353
"NYA-20240423-0","2024-04-23",2024,"OAK","NYA","Retrosheet",354
"TBA-20240423-0","2024-04-23",2024,"DET","TBA","Retrosheet",355
"TEX-20240423-0","2024-04-23",2024,"SEA","TEX","Retrosheet",356
