"game_id","game_date","season","away_team","home_team","away_score","home_score","y_true_home_win","source_name","source_row_number"
"TOR-20240413-0","2024-04-13",2024,"COL","TOR",3,5,1,"Retrosheet",220
"ARI-20240414-0","2024-04-14",2024,"SLN","ARI",0,5,1,"Retrosheet",221
"LAN-20240414-0","2024-04-14",2024,"SDN","LAN",6,3,0,"Retrosheet",222
"MIA-20240414-0","2024-04-14",2024,"ATL","MIA",9,7,0,"Retrosheet",223
"NYN-20240414-0","2024-04-14",2024,"KCA","NYN",1,2,1,"Retrosheet",224
"PHI-20240414-0","2024-04-14",2024,"PIT","PHI",9,2,0,"Retrosheet",225
"BAL-20240414-0","2024-04-14",2024,"MIL","BAL",4,6,1,"Retrosheet",226
"BOS-20240414-0","2024-04-14",2024,"ANA","BOS",4,5,1,"Retrosheet",227
"CHA-20240414-0","2024-04-14",2024,"CIN","CHA",11,4,0,"Retrosheet",228
"CLE-20240414-0","2024-04-14",2024,"NYA","CLE",7,8,1,"Retrosheet",229
"DET-20240414-0","2024-04-14",2024,"MIN","DET",3,4,1,"Retrosheet",230
"HOU-20240414-0","2024-04-14",2024,"TEX","HOU",5,8,1,"Retrosheet",231
"OAK-20240414-0","2024-04-14",2024,"WAS","OAK",6,7,1,"Retrosheet",232
"SEA-20240414-0","2024-04-14",2024,"CHN","SEA",3,2,0,"Retrosheet",233
"TBA-20240414-0","2024-04-14",2024,"SFN","TBA",4,9,1,"Retrosheet",234
"TOR-20240414-0","2024-04-14",2024,"COL","TOR",0,5,1,"Retrosheet",235
"ARI-20240415-0","2024-04-15",2024,"CHN","ARI",3,2,0,"Retrosheet",236
"LAN-20240415-0","2024-04-15",2024,"WAS","LAN",6,4,0,"Retrosheet",237
"MIA-20240415-0","2024-04-15",2024,"SFN","MIA",4,3,0,"Retrosheet",238
"MIL-20240415-0","2024-04-15",2024,"SDN","MIL",7,3,0,"Retrosheet",239
"NYN-20240415-0","2024-04-15",2024,"PIT","NYN",3,6,1,"Retrosheet",240
"PHI-20240415-0","2024-04-15",2024,"COL","PHI",1,2,1,"Retrosheet",241
"BAL-20240415-0","2024-04-15",2024,"MIN","BAL",4,7,1,"Retrosheet",242
